"Aseua3","Aseua5","Lifespan","RightTarsus","BodyMass","HeadBill","WingLength","dROMsAssay","dROMsAbs505nm","dROMsAbs546nm","dROMsCARRU505nm","dROMsCARRU546nm","natalTQ","dROMs505mMolH2O2","dROMs546mMolH2O2","Froh_imp","OXYabs505nm","OXYabs546nm","OXYmMolHClO505nm","OXYmMolHClO546nm","SexEstimate","FatherAge","MotherAge","ParentLifespan_1","ParentLifespan_0"
1,0,5,25.6,15.1,37.7,67,9,1.43,1.259,119.424,92.449,13625.74,2.866,2.219,0.226489659,0.695,0.808,129.261,130.223,1,1816.33935585232,1441,9.00320530038499,11.0630136986301
1,0,5,22.4,14,11.3,25,9,1.43,1.259,119.424,92.449,13625.74,2.866,2.219,0.226489659,0.695,0.808,129.261,130.223,1,1816.33935585232,1441,9.00320530038499,11.0630136986301
1,0,5,26,16.2,38,67,9,1.43,1.259,119.424,92.449,13625.74,2.866,2.219,0.226489659,0.695,0.808,129.261,130.223,1,1816.33935585232,1441,9.00320530038499,11.0630136986301
1,0,5,25.7,15.7,37.7,69,9,1.43,1.259,119.424,92.449,13625.74,2.866,2.219,0.226489659,0.695,0.808,129.261,130.223,1,1816.33935585232,1441,9.00320530038499,11.0630136986301
1,0,5,25.9,15.5,37.8,69,9,1.43,1.259,119.424,92.449,13625.74,2.866,2.219,0.226489659,0.695,0.808,129.261,130.223,1,1816.33935585232,1441,9.00320530038499,11.0630136986301
1,0,5,26,16.3,38,70,9,1.43,1.259,119.424,92.449,13625.74,2.866,2.219,0.226489659,0.695,0.808,129.261,130.223,1,1816.33935585232,1441,9.00320530038499,11.0630136986301
0,1,7,24.2,14,36.8,65,11,1.284,1.018,97.743,65.928,9903.15,2.346,1.582,0.111404628,0.56,0.648,177.583,180.016,0,1146,1633.07949125596,5.5041095890411,8.48949319589493
0,1,7,24.7,14.1,37,65,11,1.284,1.018,97.743,65.928,9903.15,2.346,1.582,0.111404628,0.56,0.648,177.583,180.016,0,1146,1633.07949125596,5.5041095890411,8.48949319589493
0,1,7,25,15.3,36.7,65,11,1.284,1.018,97.743,65.928,9903.15,2.346,1.582,0.111404628,0.56,0.648,177.583,180.016,0,1146,1633.07949125596,5.5041095890411,8.48949319589493
0,1,7,24.3,15.6,11.6,40,11,1.284,1.018,97.743,65.928,9903.15,2.346,1.582,0.111404628,0.56,0.648,177.583,180.016,0,1146,1633.07949125596,5.5041095890411,8.48949319589493
0,1,7,24.9,15.1,36,65,11,1.284,1.018,97.743,65.928,9903.15,2.346,1.582,0.111404628,0.56,0.648,177.583,180.016,0,1146,1633.07949125596,5.5041095890411,8.48949319589493
0,1,7,24.2,15.6,35.3,66,11,1.284,1.018,97.743,65.928,9903.15,2.346,1.582,0.111404628,0.56,0.648,177.583,180.016,0,1146,1633.07949125596,5.5041095890411,8.48949319589493
