BirdID	PHt	Hs_obs	Hs_exp	IR	HL
3561	0.357142857	0.737472022	0.728392272	0.357121519	0.612797737
3564	0.5	1.032460831	1.01974918	0.013585806	0.436006088
3565	0.571428571	1.179955236	1.165427634	-0.163298284	0.380920402
3566	0.642857143	1.32744964	1.311106089	-0.29051513	0.318878205
3567	0.464285714	0.958713629	0.946909953	-0.001647388	0.455493203
3568	0.392857143	0.811219225	0.801231499	0.194955501	0.617433582
3569	0.464285714	0.958713629	0.946909953	0.128674281	0.464899526
3570	0.464285714	0.958713629	0.946909953	0.029271201	0.494860109
3571	0.535714286	1.106208034	1.092588407	-0.085401002	0.401037396
3572	0.392857143	0.811219225	0.801231499	0.183898029	0.546065389
3573	0.392857143	0.811219225	0.801231499	0.129363686	0.540446792
3574	0.464285714	0.958713629	0.946909953	0.082048064	0.493231609
3575	0.25	0.516230416	0.50987459	0.436927386	0.685271343
3576	0.464285714	0.958713629	0.946909953	0.086899252	0.482920625
3577	0.392857143	0.811219225	0.801231499	0.139157087	0.548327007
3578	0.357142857	0.737472022	0.728392272	0.293581447	0.620704294
3579	0.464285714	0.958713629	0.946909953	0.033733363	0.455328667
3580	0.571428571	1.179955236	1.165427634	-0.171180647	0.378477319
3581	0.571428571	1.179955236	1.165427634	-0.115657481	0.36790587
3582	0.5	1.032460831	1.01974918	-0.022736318	0.457058949
3583	0.5	1.032460831	1.01974918	0.041632577	0.449609238
3585	0.428571429	0.884966427	0.874070726	0.111773251	0.491934289
3587	0.392857143	0.811219225	0.801231499	0.158873461	0.553880722
3589	0.555555556	1.151729352	1.138346681	-0.158128972	0.372407729
3590	0.357142857	0.737472022	0.728392272	0.244182214	0.588228048
3591	0.321428571	0.66372482	0.655553044	0.318036043	0.667541693
3592	0.214285714	0.442483213	0.437035363	0.545219732	0.758082775
3593	0.321428571	0.66372482	0.655553044	0.335676094	0.653272576
3594	0.464285714	0.958713629	0.946909953	0.062306633	0.490121769
3595	0.428571429	0.884966427	0.874070726	0.112350277	0.528699811
3596	0.642857143	1.32744964	1.311106089	-0.282513374	0.308461369
3597	0.428571429	0.884966427	0.874070726	0.161519897	0.551762578
3598	0.357142857	0.737472022	0.728392272	0.281922698	0.619382159
3599	0.5	1.032460831	1.01974918	-0.03593833	0.449850149
3600	0.357142857	0.737472022	0.728392272	0.266716546	0.620929326
3601	0.5	1.032460831	1.01974918	0.016994305	0.478534483
3602	0.464285714	0.958713629	0.946909953	0.044582368	0.539694881
3603	0.464285714	0.958713629	0.946909953	0.095262086	0.477986526
3604	0.678571429	1.401196843	1.383945316	-0.382660157	0.281398514
